Sample ID;COI-5P Seq. Length;OTU;Life Stage;Types;Genus;Species;Collectors;Collection Date;Country/Ocean;Sector;Exact Site;Exact Site 2;Lat;Lon;Elev;Habitat;Microhabitat;Sampling Protocol;Site Code;Collection Event ID;Microhabitat 2
EW-MI15-0227;605[0n];OTU#088;juvenile;Other;Martiodrilus;Martiodrilus motoloi;T. Decaëns, E. Lapied;March 2015;French Guiana;Tumuc-Humacs;Mitaraka Massif;lowland forest on DIADEMA project A trail;2.243;-54.465;327;lowland forest;Soil hand sorting (in the soil);Soil hand sorting (TSBF);MI15-0584;LayonA_BF_TSBF1;Soil
EW-MI15-0250;603[0n];OTU#088;juvenile;Other;Martiodrilus;Martiodrilus motoloi;T. Decaëns, E. Lapied;March 2015;French Guiana;Tumuc-Humacs;Mitaraka Massif;lowland forest on DIADEMA project A trail;2.243;-54.465;327;lowland forest;in decaying trunk;Qualitative sampling in decaying trunks;MI15-0588;LayonA_BF_TRUNK;Trunks
EW-MI15-0286;630[0n];OTU#090;juvenile;Other;Martiodrilus;Martiodrilus TD090;T. Decaëns, E. Lapied;March 2015;French Guiana;Tumuc-Humacs;Mitaraka Massif;plateau forest on DIADEMA project C trail;2.233;-54.444;449;plateau forest;in the soil;Soil hand sorting (TSBF);MI15-0553;LayonC_PLA_TSBF1;Soil
EW-MI15-0291;658[0n];OTU#090;juvenile;Other;Martiodrilus;Martiodrilus TD090;T. Decaëns, E. Lapied;March 2015;French Guiana;Tumuc-Humacs;Mitaraka Massif;plateau forest on DIADEMA project C trail;2.233;-54.444;449;plateau forest;in the soil;Qualitative sampling in soil;MI15-0556;LayonC_PLA_SOIL;Soil
EW-MI15-0205;658[0n];OTU#009;Adult;Holotype;Neogaster;Neogaster csuzdii;T. Decaëns, E. Lapied;March 2015;French Guiana;Tumuc-Humacs;Mitaraka Massif;slope forest on DIADEMA project A trail;2.238;-54.452;344;slope forest;in decaying trunk;Qualitative sampling in decaying trunks;MI15-0572;LayonA_PEN_TRUNK;Trunks
EW-MI15-0304;658[0n];OTU#009;adult;Paratype;Neogaster;Neogaster csuzdii;T. Decaëns, E. Lapied;March 2015;French Guiana;Tumuc-Humacs;Mitaraka Massif;lowland forest on DIADEMA project D trail;2.233;-54.452;318;lowland forest;in decaying trunk;Qualitative sampling in decaying trunks;MI15-0547;LayonD_BF_TRUNK;Trunks
EW-MI15-0344;658[0n];OTU#009;adult;Paratype;Neogaster;Neogaster csuzdii;T. Decaëns, E. Lapied;March 2015;French Guiana;Tumuc-Humacs;Mitaraka Massif;transition forest # 1 Sommet en Cloche Inselberg;2.23183;-54.4609;401;inselberg transition forest;in litter accumulation on granite rocks;Qualitative sampling on granite rocks;MI15-0592;Cloche_FT1_ROCK;Litter
EW-MI15-0081;658[0n];OTU#077;Adult;Holotype;Neogaster;Neogaster tumuchumac;T. Decaëns, E. Lapied;March 2015;French Guiana;Tumuc-Humacs;Mitaraka Massif;slope forest on DIADEMA project C trail;2.235;-54.445;377;slope forest;in decaying trunk;Qualitative sampling in decaying trunks;MI15-0562;LayonC_PEN_TRUNK;Trunks
EW-MI15-0080;636[0n];OTU#077;adult;Paratype;Neogaster;Neogaster tumuchumac;T. Decaëns, E. Lapied;March 2015;French Guiana;Tumuc-Humacs;Mitaraka Massif;slope forest on DIADEMA project C trail;2.235;-54.445;377;slope forest;in decaying trunk;Qualitative sampling in decaying trunks;MI15-0562;LayonC_PEN_TRUNK;Trunks
EW-MI15-0085;658[0n];OTU#077;adult;Paratype;Neogaster;Neogaster tumuchumac;T. Decaëns, E. Lapied;March 2015;French Guiana;Tumuc-Humacs;Mitaraka Massif;plateau forest on DIADEMA project A trail;2.244;-54.459;371;plateau forest;in decaying trunk;Qualitative sampling in decaying trunks;MI15-0577;LayonA_PLA_TRUNK;Trunks
EW-MI15-0086;658[0n];OTU#077;adult;Paratype;Neogaster;Neogaster tumuchumac;T. Decaëns, E. Lapied;March 2015;French Guiana;Tumuc-Humacs;Mitaraka Massif;plateau forest on DIADEMA project A trail;2.244;-54.459;371;plateau forest;in decaying trunk;Qualitative sampling in decaying trunks;MI15-0577;LayonA_PLA_TRUNK;Trunks
EW-MI15-0206;658[0n];OTU#077;adult;Paratype;Neogaster;Neogaster tumuchumac;T. Decaëns, E. Lapied;March 2015;French Guiana;Tumuc-Humacs;Mitaraka Massif;slope forest on DIADEMA project A trail;2.238;-54.452;344;slope forest;in decaying trunk;Qualitative sampling in decaying trunks;MI15-0572;LayonA_PEN_TRUNK;Trunks
EW-MI15-0207;658[0n];OTU#077;adult;Paratype;Neogaster;Neogaster tumuchumac;T. Decaëns, E. Lapied;March 2015;French Guiana;Tumuc-Humacs;Mitaraka Massif;slope forest on DIADEMA project A trail;2.238;-54.452;344;slope forest;in decaying trunk;Qualitative sampling in decaying trunks;MI15-0572;LayonA_PEN_TRUNK;Trunks
EW-MI15-0208;658[0n];OTU#077;adult;Paratype;Neogaster;Neogaster tumuchumac;T. Decaëns, E. Lapied;March 2015;French Guiana;Tumuc-Humacs;Mitaraka Massif;slope forest on DIADEMA project A trail;2.238;-54.452;344;slope forest;in decaying trunk;Qualitative sampling in decaying trunks;MI15-0572;LayonA_PEN_TRUNK;Trunks
EW-MI15-0280;658[0n];OTU#077;adult;Paratype;Neogaster;Neogaster tumuchumac;T. Decaëns, E. Lapied;March 2015;French Guiana;Tumuc-Humacs;Mitaraka Massif;plateau forest at base camp;2.23398;-54.4503;331;plateau forest;in decaying trunk;Qualitative sampling in decaying trunks;MI15-Camp-T;Camp_TRUNK;Trunks
EW-MI15-0281;658[0n];OTU#077;adult;Paratype;Neogaster;Neogaster tumuchumac;T. Decaëns, E. Lapied;March 2015;French Guiana;Tumuc-Humacs;Mitaraka Massif;plateau forest at base camp;2.23398;-54.4503;331;plateau forest;in decaying trunk;Qualitative sampling in decaying trunks;MI15-Camp-T;Camp_TRUNK;Trunks
EW-MI15-0213;658[0n];OTU#077;juvenile;Other;Neogaster;Neogaster tumuchumac;T. Decaëns, E. Lapied;March 2015;French Guiana;Tumuc-Humacs;Mitaraka Massif;slope forest on DIADEMA project A trail;2.238;-54.452;344;slope forest;in decaying trunk;Qualitative sampling in decaying trunks;MI15-0572;LayonA_PEN_TRUNK;Trunks
